temperature,pressure,altitude,numberDensity
0.1649997E+003, 0.7354371E-003, 0.1570698E+03, 0.3228339E+017
0.1649997E+003, 0.7288853E-003, 0.1572874E+03, 0.3199579E+017
0.1649997E+003, 0.7223979E-003, 0.1575049E+03, 0.3171101E+017
0.1649998E+003, 0.7159740E-003, 0.1577224E+03, 0.3142902E+017
0.1649998E+003, 0.7096129E-003, 0.1579400E+03, 0.3114978E+017
0.1649998E+003, 0.7033139E-003, 0.1581575E+03, 0.3087327E+017
0.1649998E+003, 0.6970763E-003, 0.1583750E+03, 0.3059945E+017
0.1649999E+003, 0.6908993E-003, 0.1585926E+03, 0.3032830E+017
0.1649999E+003, 0.6847823E-003, 0.1588101E+03, 0.3005977E+017
0.1650000E+003, 0.6787246E-003, 0.1590276E+03, 0.2979385E+017
0.1650000E+003, 0.6727254E-003, 0.1592452E+03, 0.2953049E+017
0.1650001E+003, 0.6667843E-003, 0.1594627E+03, 0.2926968E+017
0.1650002E+003, 0.6609004E-003, 0.1596802E+03, 0.2901138E+017
0.1650004E+003, 0.6550732E-003, 0.1598978E+03, 0.2875556E+017
0.1650005E+003, 0.6493021E-003, 0.1601153E+03, 0.2850220E+017
0.1650007E+003, 0.6435282E-003, 0.1603351E+03, 0.2824872E+017
0.1650009E+003, 0.6377521E-003, 0.1605571E+03, 0.2799513E+017
0.1650011E+003, 0.6319743E-003, 0.1607813E+03, 0.2774147E+017
0.1650013E+003, 0.6261952E-003, 0.1610079E+03, 0.2748775E+017
0.1650016E+003, 0.6204155E-003, 0.1612368E+03, 0.2723400E+017
0.1650018E+003, 0.6146355E-003, 0.1614680E+03, 0.2698024E+017
0.1650021E+003, 0.6088558E-003, 0.1617016E+03, 0.2672648E+017
0.1650024E+003, 0.6030770E-003, 0.1619375E+03, 0.2647277E+017
0.1650027E+003, 0.5972995E-003, 0.1621759E+03, 0.2621911E+017
0.1650030E+003, 0.5915238E-003, 0.1624167E+03, 0.2596553E+017
0.1650033E+003, 0.5857506E-003, 0.1626600E+03, 0.2571206E+017
0.1650036E+003, 0.5799802E-003, 0.1629058E+03, 0.2545872E+017
0.1650039E+003, 0.5742134E-003, 0.1631540E+03, 0.2520554E+017
0.1650041E+003, 0.5684506E-003, 0.1634048E+03, 0.2495254E+017
0.1650044E+003, 0.5626923E-003, 0.1636582E+03, 0.2469974E+017
0.1650047E+003, 0.5569392E-003, 0.1639141E+03, 0.2444716E+017
0.1650050E+003, 0.5511917E-003, 0.1641727E+03, 0.2419483E+017
0.1650054E+003, 0.5454505E-003, 0.1644339E+03, 0.2394275E+017
0.1650062E+003, 0.5397160E-003, 0.1646978E+03, 0.2369092E+017
0.1650077E+003, 0.5339890E-003, 0.1649644E+03, 0.2343932E+017
0.1650107E+003, 0.5282700E-003, 0.1652337E+03, 0.2318786E+017
0.1650164E+003, 0.5225596E-003, 0.1655057E+03, 0.2293642E+017
0.1650256E+003, 0.5168585E-003, 0.1657806E+03, 0.2268492E+017
0.1650405E+003, 0.5111675E-003, 0.1660582E+03, 0.2243311E+017
0.1650612E+003, 0.5054873E-003, 0.1663387E+03, 0.2218106E+017
0.1650865E+003, 0.4998186E-003, 0.1666220E+03, 0.2192894E+017
0.1651139E+003, 0.4941622E-003, 0.1669083E+03, 0.2167718E+017
0.1651418E+003, 0.4885187E-003, 0.1671974E+03, 0.2142600E+017
0.1651662E+003, 0.4828886E-003, 0.1674896E+03, 0.2117594E+017
0.1651859E+003, 0.4772723E-003, 0.1677847E+03, 0.2092715E+017
0.1652004E+003, 0.4716702E-003, 0.1680828E+03, 0.2067970E+017
0.1652098E+003, 0.4660828E-003, 0.1683840E+03, 0.2043356E+017
0.1652136E+003, 0.4605104E-003, 0.1686882E+03, 0.2018880E+017
0.1652132E+003, 0.4549534E-003, 0.1689955E+03, 0.1994522E+017
0.1652097E+003, 0.4494124E-003, 0.1693060E+03, 0.1970273E+017
0.1652040E+003, 0.4438877E-003, 0.1696197E+03, 0.1946119E+017
0.1651969E+003, 0.4383801E-003, 0.1699366E+03, 0.1922055E+017
0.1651886E+003, 0.4328899E-003, 0.1702567E+03, 0.1898079E+017
0.1651796E+003, 0.4274178E-003, 0.1705801E+03, 0.1874187E+017
0.1651703E+003, 0.4219643E-003, 0.1709067E+03, 0.1850379E+017
0.1651608E+003, 0.4165301E-003, 0.1712368E+03, 0.1826654E+017
0.1651513E+003, 0.4111157E-003, 0.1715701E+03, 0.1803013E+017
0.1651419E+003, 0.4057217E-003, 0.1719069E+03, 0.1779458E+017
0.1651328E+003, 0.4003487E-003, 0.1722472E+03, 0.1755990E+017
0.1651239E+003, 0.3949973E-003, 0.1725909E+03, 0.1732611E+017
0.1651153E+003, 0.3896681E-003, 0.1729381E+03, 0.1709324E+017
0.1651071E+003, 0.3843617E-003, 0.1732889E+03, 0.1686130E+017
0.1650993E+003, 0.3790786E-003, 0.1736433E+03, 0.1663034E+017
0.1650918E+003, 0.3738196E-003, 0.1740012E+03, 0.1640036E+017
0.1650848E+003, 0.3685851E-003, 0.1743629E+03, 0.1617140E+017
0.1650781E+003, 0.3633758E-003, 0.1747282E+03, 0.1594349E+017
0.1650718E+003, 0.3581922E-003, 0.1750973E+03, 0.1571665E+017
0.1650659E+003, 0.3530348E-003, 0.1754701E+03, 0.1549091E+017
0.1650604E+003, 0.3479044E-003, 0.1758467E+03, 0.1526630E+017
0.1650553E+003, 0.3428014E-003, 0.1762272E+03, 0.1504284E+017
0.1650505E+003, 0.3377264E-003, 0.1766116E+03, 0.1482057E+017
0.1650461E+003, 0.3326799E-003, 0.1769999E+03, 0.1459951E+017
0.1650420E+003, 0.3276626E-003, 0.1773922E+03, 0.1437968E+017
0.1650382E+003, 0.3226749E-003, 0.1777885E+03, 0.1416112E+017
0.1650347E+003, 0.3177174E-003, 0.1781888E+03, 0.1394385E+017
0.1650314E+003, 0.3127906E-003, 0.1785932E+03, 0.1372789E+017
0.1650285E+003, 0.3078951E-003, 0.1790018E+03, 0.1351328E+017
0.1650258E+003, 0.3030313E-003, 0.1794145E+03, 0.1330003E+017
0.1650233E+003, 0.2981998E-003, 0.1798315E+03, 0.1308817E+017
0.1650210E+003, 0.2934010E-003, 0.1802527E+03, 0.1287773E+017
